1679944063,SMBagAndEAS,31
1679944063,SMScanAndBag,31
1679944069,SMBagAndEAS,15
1679944071,SMScanAndBag,31
1679944075,SMBagAndEAS,15
1679944076,SMScanAndBag,31
1679944078,SMBagAndEAS,15
1679944080,SMScanAndBag,31
1679944082,SMBagAndEAS,15
1679944083,SMScanAndBag,31
1679944086,SMBagAndEAS,15
1679944088,SMScanAndBag,31
1679944090,SMBagAndEAS,15
1679944092,SMScanAndBag,31
1679944094,SMFinish,31
1679944094,SMSellBags,31
1679944094,SMCmDataEntry,81
1679944098,SMFinish,81
1679944098,SMGetFoodStampState,81
1679944098,SMFinish,55
1679944098,SMProcessing,55
1679944100,SMFinish,55
1679944105,SMCardProcessing,55
1679944110,SMCardProcessing,55
1679944116,SMTakeCard,1
1679944116,SMTakeReceipt,1
1679944119,SMThankYou,1
1679944128,SMAttract,1
1679944133,SMBagAndEAS,15
1679944135,SMScanAndBag,31
1679944143,SMProduceFavorites,31
1679944150,SMEnterWeight,23
1679944151,SMBagAndEAS,15
1679944155,SMScanAndBag,31
1679944158,SMBagAndEAS,15
1679944160,SMScanAndBag,31
1679944163,SMBagAndEAS,15
1679944165,SMScanAndBag,31
1679944168,SMBagAndEAS,15
1679944170,SMScanAndBag,31
1679944175,SMBagAndEAS,15
1679944183,SMScanAndBag,31
1679944186,SMFinish,31
1679944186,SMSellBags,31
1679944186,SMCmDataEntry,81
1679944204,SMScanAndBag,70
1679944208,SMScanAndBag,70
1679944217,SMFinish,70
1679944217,SMSellBags,70
1679944218,SMCmDataEntry,81
1679944221,SMFinish,81
1679944221,SMGetFoodStampState,81
1679944221,SMFinish,55
1679944221,SMProcessing,55
1679944223,SMFinish,55
1679944223,SMProcessing,55
1679944223,SMFinish,55
1679944245,SMCashPayment,55
1679944245,SMCardProcessing,55
1679944249,SMTakeCard,1
1679944249,SMTakeChange,1
1679944257,SMTakeReceipt,1
1679944260,SMThankYou,1
1679944338,SMAttract,1
1679944422,SMScanAndBag,27
1679944423,SMProduceFavorites,27
1679944427,SMEnterWeight,23
1679944433,SMBagAndEAS,15
1679944437,SMScanAndBag,31
1679944441,SMBagAndEAS,15
1679944442,SMScanAndBag,31
1679944445,SMScanAndBag,70
1679944448,SMFinish,70
1679944448,SMSellBags,70
1679944448,SMCmDataEntry,81
1679944450,SMFinish,81
1679944450,SMGetFoodStampState,81
1679944450,SMFinish,55
1679944450,SMProcessing,55
1679944452,SMFinish,55
1679944454,SMCardProcessing,55
1679944458,SMCardProcessing,55
1679944463,SMTakeCard,1
1679944463,SMTakeReceipt,1
1679944463,SMThankYou,1
1679944471,SMAttract,1
1679944530,SMBagAndEAS,15
1679944531,SMScanAndBag,31
1679944532,SMBagAndEAS,15
1679944533,SMScanAndBag,31
1679944535,SMBagAndEAS,15
1679944536,SMScanAndBag,31
1679944537,SMBagAndEAS,15
1679944538,SMScanAndBag,31
1679944538,SMBagAndEAS,15
1679944540,SMScanAndBag,31
1679944541,SMFinish,31
1679944542,SMSellBags,31
1679944542,SMCmDataEntry,81
1679944547,SMFinish,81
1679944547,SMGetFoodStampState,81
1679944547,SMFinish,55
1679944547,SMProcessing,55
1679944549,SMFinish,55
1679944553,SMVoucherPayment,55
1679944554,SMFinish,55
1679944562,SMFinish,70
1679944565,SMVoucherPayment,70
1679944567,SMFinish,70
1679944568,SMInsertCoupon,70
1679944571,SMFinish,70
1679944577,SMCashPayment,70
1679944582,SMCardProcessing,70
1679944586,SMTakeCard,1
