Store,Lane,DateTime,Diag,Footprint
366,137,10.05.2022-06.00.59,WMM0366POS137-221005-065352,SMAttract|SMSmAuthorization|SMAttract|SMLaneClosed|SMAttract
366,138,NotFound,WMM0366POS138-220704-235301,SMSmAuthorization|SMAttract|SMLaneClosed|SMOutOfService2|SMSystemMessageStartup
575,116,11.21.2022-11.10.49,WMM0575POS116-221121-110645,SMFinish|SMProcessing|SMOutOfService2|SMAttract|SMLaneClosed
575,116,12.13.2022-21.58.13,WMM0575POS116-221214-061051,SMAttract|SMContextHelp|SMSmAuthorization|SMAttract|SMLaneClosed
575,117,12.12.2022-22.00.23,WMM0575POS117-221213-062014,SMThankYou|SMAttract|SMSmAuthorization|SMAttract|SMLaneClosed
575,118,10.08.2022-14.08.57,WMM0575POS118-221008-142643,SMTakeCard|SMTakeReceipt|SMThankYou|SMAttract|SMProcessing
575,119,08.28.2022-15.57.05,WMM0575POS119-220829-062229,SMAttract|SMContextHelp|SMSmAuthorization|SMAttract|SMLaneClosed
575,119,09.11.2022-06.05.39,WMM0575POS119-220911-061507,SMAttract|SMContextHelp|SMSmAuthorization|SMSmMediaStatus|SMSmCashManagementEx
575,120,10.06.2022-17.04.47,WMM0575POS120-221006-170914,SMProduceFavorites|SMSecUnExpectedIncrease|SMSecUXIncreaseShopperCleared|SMProduceFavorites|SMSecUnexpectedDecrease
575,121,11.15.2022-10.01.40,WMM0575POS121-221115-095758,SMTakeReceipt|SMThankYou|SMTakeReceipt|SMThankYou|SMAttract
575,201,09.25.2022-12.13.28,WMM0575POS201-220925-122757,SMCardProcessing|SMFinish|SMCardProcessing|SMOutOfService2|SMSystemMessageStartup
575,202,NotFound,WMM0575POS202-220811-070916,[error]|SMOutOfService2|SMSystemMessageStartup
575,202,08.25.2022-07.40.16,WMM0575POS202-220825-093326,SMOutOfService2|SMAttract|SMBackgroundCalibration|SMAttract|SMLaneClosed
575,202,08.25.2022-07.40.16,WMM0575POS202-220825-101132,SMOutOfService2|SMAttract|SMBackgroundCalibration|SMAttract|SMLaneClosed
575,202,08.25.2022-07.40.16,WMM0575POS202-220825-101425,SMOutOfService2|SMAttract|SMBackgroundCalibration|SMAttract|SMLaneClosed
575,202,08.25.2022-07.40.16,WMM0575POS202-220825-101618,SMOutOfService2|SMAttract|SMBackgroundCalibration|SMAttract|SMLaneClosed
575,203,08.11.2022-10.48.38,WMM0575POS203-220811-105417,SMOutOfService2|SMAttract|SMBackgroundCalibration|SMSystemMessage4|SMOutOfService
575,203,08.25.2022-07.41.47,WMM0575POS203-220825-090453,SMOutOfService2|SMAttract|SMBackgroundCalibration|SMAttract|SMLaneClosed
575,203,NotFound,WMM0575POS203-220825-111813,[error]|SMOutOfService2|SMSystemMessageStartup
575,203,08.25.2022-11.37.04,WMM0575POS203-220825-114204,SMAttract|SMBackgroundCalibration|SMAttract|SMLaneClosed|SMOutOfService
575,204,11.19.2022-10.01.31,WMM0575POS204-221119-100819,SMTakeCard|SMTakeReceipt|SMThankYou|SMAttract|SMContextHelp
575,204,12.06.2022-10.19.02,WMM0575POS204-221206-103949,SMCmDataEntry|SMAttract|SMLaneClosed|SMOutOfService2|SMSystemMessageStartup
